VendorID,VendorName,Category,ItemMaterial,UnitPrice,PriceScore,QualityScore,DeliveryScore,ComplaintCount,ReliabilityScore,OnTimeDeliveryRate,ContractValue,VendorScore,RiskLevel
V0248,Prime Stationery Traders,Furniture,Office Chairs,61400,55,76,99,18,55,60,2588363,64.55,Medium
V0249,Digital Edge Suppliers,Mechanical Parts,Replacement Parts,51050,69,46,89,8,73,94,4669812,67.15,Medium
V0250,ABC Raw Materials,Office Supplies,Printer Paper,4550,91,64,64,0,70,94,3736075,75.55,Medium
V0251,Elite Office Solutions,IT Equipment,Network Equipment,156600,60,61,72,2,53,98,4799225,64.25,Medium
V0252,TechGlobal Solutions,Office Supplies,Stationery,1000,98,64,92,2,45,42,4058534,76.9,Medium
V0253,Digital Edge Suppliers,Furniture,Storage Cabinets,50950,66,99,76,0,71,97,2208611,80.65,Low
V0254,Lanka Industrial Suppliers,Furniture,Meeting Tables,194350,79,74,53,7,84,98,4131838,72.15,Medium
V0255,TechGlobal Solutions,Raw Materials,Metal Materials,79350,78,49,44,5,42,66,3707509,56.45,High
V0256,SmartTech Distributors,Electrical Items,LED Lighting,17200,79,72,53,9,51,82,1768055,64.05,Medium
V0257,Lanka Industrial Suppliers,Raw Materials,Production Materials,44900,92,43,99,3,52,74,1748805,72.45,Medium
V0258,Digital Edge Suppliers,Furniture,Office Furniture,155400,79,92,56,15,82,58,4177895,72.85,Medium
V0259,ABC Raw Materials,Mechanical Parts,Industrial Components,90650,84,70,64,13,43,81,2863866,63.4,Medium
V0260,SmartTech Distributors,Furniture,Office Desks,49950,97,91,81,13,78,52,2650070,82.3,Low
V0261,ABC Raw Materials,Furniture,Office Chairs,55350,40,71,59,9,75,40,2503443,60.05,Medium
V0262,SmartTech Distributors,Logistics Services,Cargo Handling,94350,100,69,71,14,80,49,4327001,75.45,Medium
V0263,TechGlobal Solutions,Raw Materials,Packaging Materials,5200,63,72,47,4,49,74,883849,60.95,Medium
V0264,Digital Edge Suppliers,Office Supplies,Files and Folders,950,64,64,43,11,44,54,745777,53.9,High
V0265,OfficeMart Lanka,IT Equipment,Printers,172850,44,98,76,20,80,95,3983820,66.7,Medium
V0266,Alpha IT Systems,Safety Equipment,Safety Helmets,3500,94,96,72,17,98,41,156513,83.0,Low
V0267,OfficeMart Lanka,Mechanical Parts,Bearings,6700,90,77,98,17,51,62,3375593,73.05,Medium
V0268,FutureNet Technologies,Electrical Items,Electrical Cables,1100,61,73,81,4,90,65,4453465,75.7,Medium
V0269,SmartTech Distributors,Logistics Services,Transport Services,49800,47,99,54,17,86,41,2447226,66.0,Medium
V0270,OfficeMart Lanka,Office Supplies,Ink Cartridges,10450,54,60,82,4,88,70,901847,70.5,Medium
V0271,TechGlobal Solutions,Furniture,Storage Cabinets,58700,48,93,61,8,68,47,3698349,67.05,Medium
V0272,Digital Edge Suppliers,Office Supplies,Office Consumables,7300,44,91,79,7,47,80,2917430,65.45,Medium
V0273,Elite Office Solutions,Furniture,Meeting Tables,58900,47,57,80,6,40,82,1065193,57.0,High
V0274,SmartTech Distributors,Raw Materials,Industrial Raw Materials,120950,90,60,87,9,53,48,3228739,71.0,Medium
V0275,Prime Stationery Traders,Raw Materials,Plastic Materials,4650,97,55,75,4,42,87,2749002,69.4,Medium
V0276,ABC Raw Materials,Electrical Items,Switches and Sockets,1600,83,48,57,0,85,64,3733777,71.15,Medium
V0277,ABC Raw Materials,Safety Equipment,Protective Gloves,4450,60,87,99,14,78,55,158119,75.15,Medium
V0278,Elite Office Solutions,Logistics Services,Freight Transportation,129200,100,53,89,17,66,64,4431546,70.75,Medium
V0279,OfficeMart Lanka,Raw Materials,Metal Materials,33950,75,88,47,15,56,94,3327082,63.85,Medium
V0280,FutureNet Technologies,Office Supplies,Printer Paper,4300,48,50,80,16,77,74,4114253,57.9,High
V0281,Elite Office Solutions,Office Supplies,Stationery,2900,90,61,64,8,56,66,3444961,67.75,Medium
V0282,FutureNet Technologies,Logistics Services,Local Delivery,21450,68,92,89,0,56,85,4673285,79.0,Medium
V0283,Elite Office Solutions,Raw Materials,Production Materials,92350,76,67,60,6,75,79,591252,69.75,Medium
V0284,Digital Edge Suppliers,IT Equipment,Computer Accessories,22800,68,90,52,19,98,56,3813734,70.0,Medium
V0285,Elite Office Solutions,Mechanical Parts,Machine Components,57550,58,52,82,17,57,85,2764039,56.8,High
V0286,Digital Edge Suppliers,Electrical Items,Circuit Breakers,3250,57,76,40,3,75,87,3529557,64.75,Medium
V0287,ABC Raw Materials,Office Supplies,Files and Folders,1350,61,41,54,19,80,69,3414344,52.8,High
V0288,Prime Stationery Traders,Office Supplies,Ink Cartridges,27700,64,77,74,14,63,62,3211967,65.65,Medium
V0289,ABC Raw Materials,Mechanical Parts,Gears,59100,54,70,44,4,76,84,828435,63.0,Medium
V0290,ABC Raw Materials,Safety Equipment,Safety Shoes,5250,63,80,81,14,90,75,2408753,72.95,Medium
V0291,TechGlobal Solutions,Safety Equipment,Fire Extinguishers,11750,68,82,46,4,81,45,2189255,70.9,Medium
V0292,Lanka Industrial Suppliers,Mechanical Parts,Replacement Parts,121500,60,51,55,18,92,99,490571,58.15,High
V0293,FutureNet Technologies,Electrical Items,Electrical Components,7550,67,88,75,12,56,82,1320248,68.95,Medium
V0294,OfficeMart Lanka,Office Supplies,Office Consumables,5900,94,100,68,3,40,64,1372829,78.6,Medium
V0295,Lanka Industrial Suppliers,IT Equipment,Laptop Computers,171150,93,95,56,1,59,94,3034941,79.5,Medium
V0296,Elite Office Solutions,Furniture,Office Furniture,90500,76,82,48,3,41,79,2992483,65.8,Medium
V0297,Lanka Industrial Suppliers,Electrical Items,LED Lighting,17900,90,68,66,14,63,70,1384471,68.3,Medium
V0298,Elite Office Solutions,Safety Equipment,Protective Clothing,12700,77,83,42,14,60,45,1602670,63.4,Medium
V0299,OfficeMart Lanka,Electrical Items,Electrical Cables,1050,87,89,86,5,87,90,2350041,86.1,Low
V0300,Elite Office Solutions,Mechanical Parts,Industrial Components,21550,41,66,96,7,40,66,1995435,60.45,Medium
V0301,Prime Stationery Traders,IT Equipment,Desktop Computers,210000,46,62,63,10,52,45,1764291,55.0,High
V0302,FutureNet Technologies,Mechanical Parts,Bearings,12350,93,75,62,10,71,44,352114,73.6,Medium
V0303,Elite Office Solutions,Mechanical Parts,Machine Components,50700,45,62,61,6,83,50,4965546,62.55,Medium
V0304,OfficeMart Lanka,Office Supplies,Printer Paper,4350,96,74,55,19,65,40,1910094,67.0,Medium
V0305,Digital Edge Suppliers,Raw Materials,Packaging Materials,3050,71,90,45,1,73,73,4651059,73.35,Medium
V0306,Digital Edge Suppliers,Safety Equipment,Safety Helmets,4850,97,56,46,7,58,48,4038752,65.55,Medium
V0307,Digital Edge Suppliers,IT Equipment,Network Equipment,77300,49,72,48,7,45,51,4635691,55.35,High
V0308,Alpha IT Systems,Safety Equipment,Protective Gloves,2550,91,90,59,8,72,83,79452,77.45,Medium
V0309,Digital Edge Suppliers,Raw Materials,Industrial Raw Materials,95950,78,50,91,14,56,83,1063974,64.4,Medium
V0310,Digital Edge Suppliers,Furniture,Office Desks,100600,73,98,99,6,100,75,650855,89.55,Low
V0311,OfficeMart Lanka,IT Equipment,Printers,144950,80,44,92,17,90,94,2942509,68.9,Medium
V0312,Elite Office Solutions,Raw Materials,Plastic Materials,6100,67,67,98,5,56,49,4207723,71.8,Medium
V0313,SmartTech Distributors,Safety Equipment,Safety Shoes,13500,94,65,91,11,51,86,2579012,72.65,Medium
V0314,TechGlobal Solutions,Logistics Services,Warehouse Services,81400,74,62,54,0,60,89,3016224,66.8,Medium
V0315,Prime Stationery Traders,Safety Equipment,Fire Extinguishers,24600,72,66,74,19,43,87,4516590,58.4,High
V0316,Prime Stationery Traders,Mechanical Parts,Gears,65150,74,99,88,15,94,79,287201,82.15,Low
V0317,Alpha IT Systems,Raw Materials,Metal Materials,81750,43,81,94,8,40,100,3872971,63.8,Medium
V0318,FutureNet Technologies,Office Supplies,Stationery,2250,84,75,57,16,64,78,3588767,65.95,Medium
V0319,FutureNet Technologies,Mechanical Parts,Replacement Parts,61800,75,64,71,19,49,40,3638470,59.25,High
V0320,Alpha IT Systems,Office Supplies,Files and Folders,1500,42,91,40,0,50,51,1035995,61.25,Medium
V0321,ABC Raw Materials,Mechanical Parts,Industrial Components,16500,60,48,71,3,75,65,1853278,64.7,Medium
V0322,Digital Edge Suppliers,Raw Materials,Production Materials,5050,73,78,54,7,96,65,481606,74.25,Medium
V0323,ABC Raw Materials,Mechanical Parts,Bearings,21550,66,40,69,20,43,51,521941,48.9,High
V0324,SmartTech Distributors,IT Equipment,Computer Accessories,12950,55,73,44,14,94,46,2946825,62.6,Medium
V0325,OfficeMart Lanka,Furniture,Office Chairs,60850,56,94,65,13,97,84,3075299,73.4,Medium
V0326,ABC Raw Materials,Furniture,Storage Cabinets,70600,63,82,95,18,58,65,4902661,67.85,Medium
V0327,ABC Raw Materials,Safety Equipment,Protective Clothing,5100,43,75,61,2,64,100,1723024,63.5,Medium
V0328,OfficeMart Lanka,Office Supplies,Ink Cartridges,22450,82,77,44,2,78,96,634543,73.15,Medium
V0329,SmartTech Distributors,Logistics Services,Cargo Handling,117850,80,66,56,9,69,65,3793440,67.0,Medium
V0330,SmartTech Distributors,Logistics Services,Transport Services,100800,80,77,97,20,63,75,3583788,71.25,Medium
V0331,Elite Office Solutions,Raw Materials,Packaging Materials,5850,99,47,59,3,65,85,3623415,69.8,Medium
V0332,Lanka Industrial Suppliers,IT Equipment,Laptop Computers,215000,84,95,90,7,49,40,863064,79.05,Medium
V0333,OfficeMart Lanka,Logistics Services,Freight Transportation,200250,53,90,74,4,63,52,2297337,71.15,Medium
V0334,FutureNet Technologies,Furniture,Meeting Tables,147750,81,48,86,7,96,51,3252296,75.15,Medium
V0335,Lanka Industrial Suppliers,Office Supplies,Office Consumables,2850,89,41,69,10,60,93,754654,63.3,Medium
V0336,Elite Office Solutions,Electrical Items,Switches and Sockets,6800,54,44,65,19,89,87,897177,55.8,High
V0337,SmartTech Distributors,Furniture,Office Furniture,65850,68,92,73,14,84,45,1123956,74.4,Medium
V0338,ABC Raw Materials,Furniture,Office Desks,117600,53,60,75,4,42,50,3138578,59.65,High
V0339,OfficeMart Lanka,Office Supplies,Printer Paper,5500,83,63,100,11,41,59,154173,69.2,Medium
V0340,Lanka Industrial Suppliers,Furniture,Office Chairs,58550,72,81,75,19,48,94,126390,63.35,Medium
V0341,TechGlobal Solutions,Furniture,Storage Cabinets,91350,86,48,55,2,42,87,3646274,61.9,Medium
V0342,Alpha IT Systems,Raw Materials,Industrial Raw Materials,42500,41,70,54,18,84,65,2814387,56.35,High
V0343,Prime Stationery Traders,IT Equipment,Desktop Computers,158250,86,98,79,6,41,73,786301,77.0,Medium
V0344,Elite Office Solutions,Office Supplies,Stationery,2400,43,72,87,8,83,48,1127677,68.75,Medium
V0345,FutureNet Technologies,Raw Materials,Plastic Materials,1650,46,75,42,9,67,70,1375361,57.55,High
V0346,Digital Edge Suppliers,Office Supplies,Files and Folders,1900,83,63,100,17,68,79,4480070,71.6,Medium
V0347,Elite Office Solutions,Logistics Services,Local Delivery,24300,57,98,47,1,89,80,2275498,75.45,Medium
V0348,FutureNet Technologies,Logistics Services,Warehouse Services,8000,79,91,48,17,67,55,3280511,67.0,Medium
V0349,Lanka Industrial Suppliers,IT Equipment,Network Equipment,50250,83,42,79,0,54,60,2578003,67.85,Medium
V0350,Prime Stationery Traders,Logistics Services,Cargo Handling,118450,67,69,55,16,43,93,4493555,55.6,High
V0351,Prime Stationery Traders,Electrical Items,Circuit Breakers,8350,75,81,81,13,83,67,2521649,75.3,Medium
V0352,OfficeMart Lanka,Furniture,Meeting Tables,197250,57,45,40,8,85,90,4489328,56.5,High
V0353,Digital Edge Suppliers,IT Equipment,Printers,119950,81,40,81,19,56,49,1019657,58.15,High
V0354,TechGlobal Solutions,Raw Materials,Metal Materials,28750,49,51,62,14,68,64,1707081,54.0,High
V0355,Lanka Industrial Suppliers,Raw Materials,Production Materials,8100,83,66,89,18,50,45,2125997,66.05,Medium
V0356,Elite Office Solutions,Raw Materials,Packaging Materials,2450,82,87,55,5,41,99,661114,68.95,Medium
V0357,Prime Stationery Traders,IT Equipment,Computer Accessories,32400,71,50,88,7,97,80,1758148,73.75,Medium
V0358,FutureNet Technologies,Office Supplies,Ink Cartridges,11800,76,70,95,0,63,67,4394672,78.1,Medium
V0359,Lanka Industrial Suppliers,Logistics Services,Transport Services,70650,89,95,49,11,65,99,4567122,73.3,Medium
V0360,Alpha IT Systems,Mechanical Parts,Machine Components,94400,65,90,87,17,64,68,1345308,70.45,Medium
V0361,SmartTech Distributors,Office Supplies,Office Consumables,5000,78,57,46,8,42,95,4650114,57.35,High
V0362,Lanka Industrial Suppliers,Raw Materials,Industrial Raw Materials,33200,73,62,76,9,40,53,246214,62.45,Medium
V0363,ABC Raw Materials,IT Equipment,Laptop Computers,152250,72,85,76,12,62,55,1009248,70.85,Medium
V0364,FutureNet Technologies,Safety Equipment,Safety Helmets,5700,41,59,90,10,68,80,4664889,61.6,Medium
V0365,Digital Edge Suppliers,Electrical Items,Electrical Components,24250,58,86,82,14,69,60,4668544,69.2,Medium
V0366,OfficeMart Lanka,Mechanical Parts,Gears,78750,42,49,67,7,88,71,778972,60.25,Medium
V0367,TechGlobal Solutions,Raw Materials,Plastic Materials,9550,40,66,46,13,79,49,4276437,55.0,High
V0368,FutureNet Technologies,Raw Materials,Metal Materials,36200,58,75,71,9,92,72,159694,71.35,Medium
V0369,TechGlobal Solutions,Office Supplies,Printer Paper,6500,64,59,55,6,98,73,3099085,68.35,Medium
V0370,ABC Raw Materials,Office Supplies,Stationery,3200,97,66,100,13,84,65,233928,81.05,Low
V0371,Digital Edge Suppliers,Raw Materials,Production Materials,37500,82,45,75,8,46,67,2638964,61.95,Medium
V0372,SmartTech Distributors,Electrical Items,LED Lighting,7900,41,44,63,13,90,53,2385544,55.35,High
V0373,FutureNet Technologies,Furniture,Office Furniture,45950,78,82,68,20,52,76,4981769,64.0,Medium
V0374,Lanka Industrial Suppliers,IT Equipment,Desktop Computers,118750,70,57,74,17,54,67,1327165,58.85,High
V0375,ABC Raw Materials,IT Equipment,Network Equipment,98650,86,52,78,18,97,86,4669640,70.5,Medium
V0376,ABC Raw Materials,Raw Materials,Packaging Materials,2650,49,44,89,13,75,92,1403695,59.55,High
V0377,Prime Stationery Traders,Mechanical Parts,Replacement Parts,46750,43,85,89,2,48,64,2669154,68.4,Medium
V0378,Digital Edge Suppliers,Mechanical Parts,Industrial Components,104750,60,49,97,3,92,50,3576548,73.55,Medium
V0379,ABC Raw Materials,Electrical Items,Electrical Cables,2250,72,57,44,16,98,96,2279254,62.65,Medium
V0380,ABC Raw Materials,Mechanical Parts,Bearings,16900,87,63,42,11,63,68,1315249,63.0,Medium
V0381,Lanka Industrial Suppliers,Safety Equipment,Protective Gloves,500,93,81,82,4,69,42,1035429,81.7,Low
V0382,ABC Raw Materials,Logistics Services,Freight Transportation,167150,61,67,68,12,78,53,2854441,65.2,Medium
V0383,Prime Stationery Traders,Office Supplies,Files and Folders,750,90,67,77,15,78,82,3728420,72.75,Medium
V0384,Lanka Industrial Suppliers,Furniture,Office Desks,32400,67,84,62,8,75,88,3614075,71.15,Medium
V0385,Digital Edge Suppliers,Mechanical Parts,Machine Components,32900,96,84,80,12,63,78,3600255,77.6,Medium
V0386,FutureNet Technologies,Electrical Items,Switches and Sockets,1800,94,58,92,14,94,91,1401119,78.2,Medium
V0387,ABC Raw Materials,Furniture,Office Chairs,51900,88,53,95,1,50,60,1141785,73.75,Medium
V0388,TechGlobal Solutions,Logistics Services,Local Delivery,6650,99,95,59,2,65,42,1828749,82.3,Low
V0389,Alpha IT Systems,Logistics Services,Warehouse Services,29300,51,92,60,20,58,65,3002491,59.35,High
V0390,TechGlobal Solutions,Mechanical Parts,Gears,50250,42,74,58,14,70,51,843993,57.6,High
V0391,TechGlobal Solutions,Office Supplies,Ink Cartridges,17350,89,48,57,13,89,70,553654,66.95,Medium
V0392,Lanka Industrial Suppliers,Mechanical Parts,Replacement Parts,108050,76,73,55,13,71,53,863660,65.95,Medium
V0393,FutureNet Technologies,Raw Materials,Industrial Raw Materials,53600,96,70,66,18,80,89,2569606,71.7,Medium
V0394,Digital Edge Suppliers,Safety Equipment,Safety Shoes,16350,85,80,42,18,74,55,4298773,65.45,Medium
V0395,Digital Edge Suppliers,Furniture,Storage Cabinets,40850,45,48,99,8,88,47,735489,66.65,Medium
V0396,SmartTech Distributors,IT Equipment,Printers,120650,97,50,81,19,74,96,3302315,68.25,Medium
V0397,OfficeMart Lanka,Furniture,Meeting Tables,53300,96,48,100,6,56,87,1210701,74.2,Medium
V0398,OfficeMart Lanka,Safety Equipment,Fire Extinguishers,16500,95,85,46,18,95,76,2208514,74.2,Medium
V0399,TechGlobal Solutions,Logistics Services,Cargo Handling,57750,47,53,40,5,47,55,1922198,49.9,High
V0400,Prime Stationery Traders,Electrical Items,Circuit Breakers,9700,100,94,59,15,52,92,1829416,73.2,Medium
V0401,Prime Stationery Traders,Office Supplies,Office Consumables,8500,42,50,41,14,42,71,122232,42.6,High
V0402,SmartTech Distributors,Electrical Items,Electrical Components,14350,53,97,53,7,55,98,3071494,65.6,Medium
V0403,Elite Office Solutions,Safety Equipment,Protective Clothing,7250,56,46,92,16,54,72,3033326,56.7,High
V0404,TechGlobal Solutions,Electrical Items,LED Lighting,8400,98,55,96,1,97,58,1887813,86.35,Low
V0405,Alpha IT Systems,Electrical Items,Electrical Cables,1550,42,63,46,19,85,100,2546117,52.95,High
V0406,Elite Office Solutions,Office Supplies,Printer Paper,4400,93,90,44,8,59,42,1638443,72.35,Medium
V0407,Prime Stationery Traders,Office Supplies,Stationery,3300,65,88,57,17,62,72,1934866,63.55,Medium
V0408,SmartTech Distributors,Logistics Services,Transport Services,12150,52,56,75,14,75,62,4240782,60.0,Medium
V0409,Prime Stationery Traders,Mechanical Parts,Industrial Components,139400,43,78,43,5,62,82,2905393,58.75,High
V0410,TechGlobal Solutions,Raw Materials,Plastic Materials,7300,77,75,58,7,98,62,1666475,75.7,Medium
V0411,Elite Office Solutions,IT Equipment,Computer Accessories,29550,77,59,54,13,83,44,3167463,64.9,Medium
V0412,OfficeMart Lanka,Logistics Services,Freight Transportation,151950,76,69,98,2,62,93,2419313,77.25,Medium
V0413,TechGlobal Solutions,Electrical Items,Switches and Sockets,1450,64,46,48,4,59,93,1189910,56.9,High
V0414,Digital Edge Suppliers,Office Supplies,Files and Folders,1100,89,93,48,9,98,40,3315629,80.2,Low
V0415,FutureNet Technologies,Raw Materials,Metal Materials,21400,42,67,74,1,80,95,4303060,67.55,Medium
V0416,Alpha IT Systems,Raw Materials,Production Materials,46650,93,74,91,6,63,95,620179,79.55,Medium
V0417,Elite Office Solutions,Mechanical Parts,Bearings,7950,62,87,82,1,74,42,4114556,77.95,Medium
V0418,SmartTech Distributors,Logistics Services,Local Delivery,3800,44,67,76,1,89,73,62146,70.25,Medium
V0419,Prime Stationery Traders,Raw Materials,Packaging Materials,6350,68,47,54,2,83,64,1717467,65.15,Medium
V0420,Digital Edge Suppliers,Raw Materials,Industrial Raw Materials,39950,72,95,75,1,87,97,1501737,83.65,Low
V0421,Prime Stationery Traders,Raw Materials,Plastic Materials,800,54,78,70,9,72,67,3934711,66.9,Medium
V0422,FutureNet Technologies,Raw Materials,Metal Materials,46950,54,58,77,18,65,55,1273186,57.4,High
V0423,Elite Office Solutions,IT Equipment,Laptop Computers,232100,98,96,97,6,53,56,243048,85.5,Low
V0424,Elite Office Solutions,Furniture,Office Furniture,170650,78,84,96,17,67,64,3106890,74.6,Medium
V0425,SmartTech Distributors,Office Supplies,Ink Cartridges,30550,78,58,55,0,68,61,3566349,68.6,Medium
V0426,Elite Office Solutions,IT Equipment,Desktop Computers,186650,95,79,52,0,81,60,4456959,80.1,Low
V0427,Elite Office Solutions,Office Supplies,Office Consumables,4000,56,62,54,9,75,54,1443202,60.8,Medium
V0428,Lanka Industrial Suppliers,Raw Materials,Production Materials,46950,93,69,61,3,72,50,3874591,75.6,Medium
V0429,ABC Raw Materials,Mechanical Parts,Machine Components,14150,64,59,66,1,76,97,938256,68.65,Medium
V0430,FutureNet Technologies,Logistics Services,Warehouse Services,15450,83,49,77,4,91,79,4019721,74.6,Medium
V0431,Elite Office Solutions,Electrical Items,Circuit Breakers,9900,87,85,57,8,56,59,2786703,71.6,Medium
V0432,OfficeMart Lanka,Office Supplies,Printer Paper,2250,59,63,44,5,87,74,2621555,64.2,Medium
V0433,TechGlobal Solutions,Mechanical Parts,Gears,26350,51,90,41,13,69,44,1951956,60.75,Medium
V0434,Elite Office Solutions,Mechanical Parts,Replacement Parts,56850,76,63,53,19,96,83,4631968,65.05,Medium
V0435,ABC Raw Materials,Office Supplies,Stationery,950,67,82,59,15,71,68,4647301,65.75,Medium
V0436,Elite Office Solutions,IT Equipment,Network Equipment,156850,60,75,99,13,68,50,1276877,70.65,Medium
V0437,Prime Stationery Traders,Safety Equipment,Safety Helmets,7700,87,60,52,19,40,60,3270839,55.65,High
V0438,Lanka Industrial Suppliers,IT Equipment,Printers,110400,52,70,74,2,57,81,1514026,65.7,Medium
V0439,Prime Stationery Traders,Safety Equipment,Protective Gloves,800,88,82,81,6,66,57,1522085,78.9,Medium
V0440,TechGlobal Solutions,Mechanical Parts,Industrial Components,86800,47,87,76,17,43,73,4495713,58.8,High
V0441,Digital Edge Suppliers,Electrical Items,Electrical Components,1450,51,62,100,9,48,42,1492026,63.35,Medium
V0442,Alpha IT Systems,Raw Materials,Packaging Materials,5250,79,47,62,4,45,55,840450,60.9,Medium
V0443,Alpha IT Systems,Furniture,Office Desks,116350,94,40,56,7,72,95,214884,65.6,Medium
V0444,Alpha IT Systems,Furniture,Office Chairs,23450,59,60,87,19,59,82,4777608,59.45,High
V0445,Alpha IT Systems,Furniture,Storage Cabinets,83500,91,41,47,20,95,70,4330499,61.4,Medium
V0446,Prime Stationery Traders,IT Equipment,Computer Accessories,33400,48,79,57,16,84,72,3960219,61.95,Medium
V0447,TechGlobal Solutions,Furniture,Meeting Tables,201950,55,93,84,5,42,99,2151545,69.7,Medium
V0448,OfficeMart Lanka,Furniture,Office Furniture,177950,80,73,55,14,100,58,4588385,72.25,Medium
V0449,OfficeMart Lanka,Raw Materials,Industrial Raw Materials,107200,87,77,73,19,41,72,456139,64.3,Medium
V0450,Digital Edge Suppliers,Mechanical Parts,Bearings,2900,77,45,99,9,83,63,3071685,72.4,Medium
V0451,Elite Office Solutions,Logistics Services,Cargo Handling,48050,47,89,81,0,40,54,743637,68.2,Medium
V0452,OfficeMart Lanka,Safety Equipment,Safety Shoes,17000,97,59,69,0,57,69,816989,74.2,Medium
V0453,Lanka Industrial Suppliers,Safety Equipment,Fire Extinguishers,15700,89,68,94,5,66,46,2147560,78.75,Medium
V0454,SmartTech Distributors,Office Supplies,Files and Folders,1550,44,78,50,4,40,42,3270687,56.5,High
V0455,FutureNet Technologies,Mechanical Parts,Machine Components,150500,82,71,61,11,80,78,2559845,70.95,Medium
V0456,SmartTech Distributors,IT Equipment,Laptop Computers,279900,73,44,44,5,93,64,2392576,64.15,Medium
V0457,Lanka Industrial Suppliers,Raw Materials,Plastic Materials,10000,78,80,96,12,89,55,4034907,80.5,Low
V0458,SmartTech Distributors,Raw Materials,Metal Materials,30050,98,84,70,15,69,95,3055640,75.8,Medium
V0459,FutureNet Technologies,Safety Equipment,Protective Clothing,4150,40,78,95,2,80,53,1446476,73.5,Medium
V0460,FutureNet Technologies,Electrical Items,LED Lighting,13250,68,73,78,10,63,95,4241144,68.45,Medium
V0461,Elite Office Solutions,Mechanical Parts,Gears,59900,69,88,86,10,76,92,652571,76.65,Medium
V0462,Lanka Industrial Suppliers,Logistics Services,Transport Services,26750,90,45,91,16,95,88,1584100,72.95,Medium
V0463,Digital Edge Suppliers,Furniture,Office Desks,52950,64,59,47,13,96,76,3549798,62.85,Medium
V0464,ABC Raw Materials,Logistics Services,Freight Transportation,49300,79,45,66,11,87,60,2559520,66.1,Medium
V0465,Digital Edge Suppliers,Raw Materials,Production Materials,78200,65,45,67,13,47,70,3394037,53.8,High
V0466,Prime Stationery Traders,Furniture,Office Chairs,27900,46,81,56,2,55,85,2631810,62.95,Medium
V0467,OfficeMart Lanka,Logistics Services,Local Delivery,13300,97,75,51,14,49,92,2316142,66.0,Medium
V0468,ABC Raw Materials,Office Supplies,Ink Cartridges,18900,62,95,85,15,56,62,3311083,69.95,Medium
V0469,Lanka Industrial Suppliers,Raw Materials,Packaging Materials,3050,97,93,51,2,96,54,3106270,85.9,Low
V0470,Elite Office Solutions,Safety Equipment,Safety Helmets,7350,96,46,46,14,67,73,4836352,61.1,Medium
V0471,Alpha IT Systems,Office Supplies,Office Consumables,3200,53,55,64,4,86,63,4915389,65.0,Medium
V0472,Alpha IT Systems,Safety Equipment,Protective Gloves,700,85,92,76,1,45,85,3574961,77.95,Medium
V0473,OfficeMart Lanka,Safety Equipment,Safety Shoes,14800,69,73,90,12,99,93,1071191,77.3,Medium
V0474,Alpha IT Systems,Mechanical Parts,Replacement Parts,52800,51,57,73,16,76,81,2051184,58.8,High
V0475,ABC Raw Materials,Furniture,Storage Cabinets,87900,49,90,49,7,81,41,1151824,67.25,Medium
V0476,SmartTech Distributors,Office Supplies,Printer Paper,5100,75,84,52,6,41,72,170348,65.35,Medium
V0477,TechGlobal Solutions,Furniture,Meeting Tables,199600,89,99,90,19,95,62,3014440,84.5,Low
V0478,TechGlobal Solutions,Safety Equipment,Fire Extinguishers,8550,40,45,52,16,51,75,1463824,43.85,High
V0479,TechGlobal Solutions,Office Supplies,Stationery,2750,52,63,56,17,50,53,1823147,51.45,High
V0480,Prime Stationery Traders,Raw Materials,Industrial Raw Materials,23600,88,91,45,13,52,85,713584,67.65,Medium
V0481,TechGlobal Solutions,Logistics Services,Warehouse Services,71250,75,63,43,5,100,98,1777856,70.6,Medium
V0482,Lanka Industrial Suppliers,Mechanical Parts,Industrial Components,23700,52,92,69,3,88,84,3822055,75.9,Medium
V0483,ABC Raw Materials,Raw Materials,Plastic Materials,3450,66,100,86,12,80,78,614170,78.7,Medium
V0484,Alpha IT Systems,IT Equipment,Desktop Computers,117550,100,63,70,18,79,77,3094689,71.55,Medium
V0485,Lanka Industrial Suppliers,Furniture,Office Furniture,121150,68,51,56,7,96,53,1881190,66.65,Medium
V0486,Alpha IT Systems,Raw Materials,Metal Materials,55000,92,98,98,15,54,56,3762314,80.4,Low
V0487,Digital Edge Suppliers,Safety Equipment,Protective Clothing,14250,81,91,99,7,80,88,2014209,85.3,Low
V0488,TechGlobal Solutions,Safety Equipment,Safety Helmets,6650,82,97,64,13,87,48,3703667,78.45,Medium
V0489,SmartTech Distributors,Mechanical Parts,Bearings,41200,71,88,79,13,67,98,1529671,72.45,Medium
V0490,SmartTech Distributors,Furniture,Office Desks,57950,72,54,85,3,68,55,288658,70.6,Medium
V0491,Digital Edge Suppliers,Mechanical Parts,Machine Components,127850,70,93,53,10,68,51,3728573,69.95,Medium
V0492,Digital Edge Suppliers,Mechanical Parts,Gears,38650,97,87,85,20,96,53,1782964,82.2,Low
V0493,Digital Edge Suppliers,Safety Equipment,Protective Gloves,3700,84,75,62,15,100,69,1409922,74.65,Medium
V0494,Elite Office Solutions,Safety Equipment,Safety Shoes,12550,92,87,58,15,74,86,1928756,73.65,Medium
V0495,Digital Edge Suppliers,Raw Materials,Production Materials,80150,78,77,59,4,42,83,4791756,66.95,Medium
V0496,Digital Edge Suppliers,Furniture,Office Chairs,31350,42,97,68,4,72,60,873169,70.75,Medium
